1	6916
1	5	13	99	1
2	71	155	207	1
3	163	1064	1176	1
4	377	58590	60390	1
5	54	273	274	1
6	757	57899	58045	1
7	914	915	1467	1
8	353	362	1210	1
9	1299	59155	59156	1
10	58440	58467	65952	1
11	612	1345	60382	1
12	57954	65412	65413	1
13	41	110	132	1
14	1003	1054	1056	1
15	438	1320	1637	1
16	346	1527	1529	1
17	650	1319	1381	1
18	650	1381	1436	1
19	547	987	988	1
20	525	989	66944	1
21	29	273	274	1
22	1341	58193	58263	1
23	1305	59148	59149	1
24	58171	58246	66724	1
25	58235	58261	67384	1
26	514	1168	1169	1
27	323	67554	67556	1
28	280	281	282	1
29	656	971	977	1
30	1186	58161	65168	1
31	750	58262	58324	1
32	283	667	668	1
33	1424	64894	64900	1
34	248	671	672	1
35	471	609	1279	1
36	190	534	674	1
37	8	171	172	1
38	513	1173	1174	1
39	153	59076	59078	1
40	74	963	964	1
41	265	1396	1397	1
42	168	1465	1466	1
43	865	1262	1382	1
44	1261	1262	1382	1
45	419	58322	58371	1
46	778	60437	60442	1
47	58163	58239	64913	1
48	57221	57715	68999	1
49	441	642	1484	1
50	214	1243	1244	1
51	244	347	834	1
52	1313	1314	1316	1
53	368	1118	1119	1
54	462	500	1542	1
55	249	251	1474	1
56	57	92	121	1
57	58475	58498	65101	1
58	471	609	1532	1
59	35	1236	1237	1
60	1061	58088	58189	1
61	927	1092	1097	1
62	719	722	1399	1
63	341	908	909	1
64	606	1111	1155	1
65	435	436	640	1
66	181	1266	1271	1
67	707	64758	69703	1
68	524	1115	1117	1
69	365	493	508	1
70	365	481	493	1
71	850	58427	66878	1
72	221	57721	57902	1
73	829	1510	59764	1
74	734	57215	57706	1
75	375	568	58297	1
76	400	860	1553	1
77	164	1608	1656	1
78	423	58248	67865	1
79	169	933	937	1
80	95	166	279	1
81	511	1138	1194	1
82	1563	64754	67131	1
83	16	144	145	1
84	602	57918	64822	1
85	454	1010	1011	1
86	65019	67762	67763	1
87	1594	58323	58372	1
88	296	734	758	1
89	313	66440	66441	1
90	64759	68446	68447	1
91	16	141	144	1
92	490	1078	1079	1
93	528	1139	1140	1
94	562	65172	68486	1
95	709	58510	67804	1
96	59759	59761	65528	1
97	786	1526	61873	1
98	87	119	186	1
99	1422	58196	58266	1
100	51	98	1397	1
101	1376	58428	69352	1
102	222	68158	68160	1
103	761	59584	59586	1
104	64899	67536	69313	1
105	704	64846	68654	1
106	784	60444	60446	1
107	577	1560	57943	1
108	824	59834	59837	1
109	1431	58239	64913	1
