1	70226
1	  1.62671256e+02	  4.63573470e+01	  2.51214210e+01
2	  8.04854740e+01	  1.46687305e+02	  1.63783075e+02
3	  9.27193280e+01	  6.07395800e+00	  8.99110000e-01
4	  3.50820370e+01	  1.90415061e+02	  3.66019690e+01
5	  9.92583800e+01	  5.09643000e+00	  1.08572540e+01
6	  8.83189380e+01	  1.19029540e+01	 -5.43680000e-02
7	  1.01941741e+02	  9.85252900e+00	 -9.13210000e-02
8	  8.84003970e+01	  3.86393400e+00	  1.32543380e+01
9	  1.06252511e+02	  1.29540830e+01	  9.75974760e+01
10	  9.42818170e+01	  9.89000600e+00	 -1.29562000e-01
11	  9.09270510e+01	  4.50671300e+00	  5.06507800e+00
12	  8.97360870e+01	  6.47706400e+00	  2.38928810e+01
13	  1.01840421e+02	  6.31156900e+00	  1.30121550e+01
14	  8.56836970e+01	  4.77649500e+00	  4.92247900e+00
15	  9.55317410e+01	  4.14596300e+00	  1.02718800e+01
16	  9.93090260e+01	  4.94552600e+00	  5.97544000e+00
17	  9.61750410e+01	  5.63526600e+00	  5.99542000e-01
18	  2.10205250e+01	  4.50065280e+01	  3.58693640e+01
19	  4.87443550e+01	  1.97336438e+02	  1.01335303e+02
20	  9.03481110e+01	  1.72621370e+01	  5.87400000e-03
21	  5.23831040e+01	  1.52428070e+01	  1.77835830e+01
22	  4.75103440e+01	  1.55224208e+02	  6.94108000e-01
23	  9.71151310e+01	  6.89826500e+00	  2.31744760e+01
24	  5.94688490e+01	  4.63590680e+01	  1.50385986e+02
25	  1.04612622e+02	  6.58053300e+00	  1.73388900e+00
26	  1.39262492e+02	  2.03080220e+01	  2.63196270e+01
27	  9.54561680e+01	  3.98968400e+00	  9.01089500e+00
28	  8.92023430e+01	  3.78927000e+00	  9.91460600e+00
29	  7.84004230e+01	  7.66970700e+00	  9.02360000e-01
30	  8.62989890e+01	  3.14788720e+01	  5.37500000e-03
31	  9.78532820e+01	  1.27943480e+01	 -1.20570000e-01
32	  9.80324780e+01	  6.40226400e+00	  2.07763590e+01
33	  8.15659730e+01	  2.34579460e+01	 -4.56000000e-03
34	  8.69491630e+01	  4.08074300e+00	  7.55782600e+00
35	  1.56442906e+02	  4.37840270e+01	  1.01374322e+02
36	  9.49597510e+01	  4.34163100e+00	  6.31117300e+00
